ItemCode,UOM,IBMS ItemName,ItemType,Section,Name,Secoundry Pack Selling Net Rate to Retailers Including Tax - Round 
FG000592,TP-BOX,PR-ZC-CC-4LTR,AWR-TPMRK-PL-D-005,Zinc Chromate Primer-CLASSY COATS,ZC-CC-4.0 LTR,2800
FG000628,TP-BOX,PR-ZC-SB-0.5LTR,AWR-TPMRK-PL-D-005,Zinc Chromate Primer-SUN BOND,ZC-SB-0.5 LTR,1240
FG000505,TP-BOX,PR-ZC-SB-1LTR,AWR-TPMRK-PL-D-005,Zinc Chromate Primer-SUN BOND,ZC-SB-1.0 LTR,1698
FG000591,TP-BOX,PR-ZC-SB-20LTR,AWR-TPMRK-PL-D-005,Zinc Chromate Primer-SUN BOND,ZC-SB-20.0 LTR,4700
FG000506,TP-BOX,PR-ZC-SB-4LTR,AWR-TPMRK-PL-D-005,Zinc Chromate Primer-SUN BOND,ZC-SB-4.0 LTR,4160
FG000660,SG-BOX,SP-SG-SB-GR-BL-30NO,AWR-SPMRK-PL-D-003,Safety Googles,SAFETY GOGGLES GREY COLOUR BLUE LOGO 30NOS,1170
FG000637,SG-BOX,SP-SG-SB-GR-BL-60NO,AWR-SPMRK-PL-D-003,Safety Googles,SAFETY GOGGLES GREY COLOUR BLUE LOGO 60NOS,2340
FG000661,SG-BOX,SP-SG-SB-WH-BL-30NO,AWR-SPMRK-PL-D-003,Safety Googles,SAFETY GOGGLES WHITE COLOUR BLUE LOGO 30NOS,1170
FG000565,TR-BOX,TP-TR-GP-0.5 LTR,AWR-TPMRK-PL-D-008,GP ENAMEL THINNER,GP-0.5 LTR,1860
FG000576,TR-BOX,TP-TR-GP-0.8 LTR,AWR-TPMRK-PL-D-008,GP ENAMEL THINNER,GP-0.8 LTR,4260
FG000566,TR-BOX,TP-TR-GP-1 LTR,AWR-TPMRK-PL-D-008,GP ENAMEL THINNER,GP-1 LTR,3540
FG000569,TR-BOX,TP-TR-GP-20 LTR,AWR-TPMRK-PL-D-008,GP ENAMEL THINNER,GP-20 LTR,3650
FG000567,TR-BOX,TP-TR-GP-3 LTR,AWR-TPMRK-PL-D-008,GP ENAMEL THINNER,GP-3 LTR,2152
FG000568,TR-BOX,TP-TR-GP-5 LTR,AWR-TPMRK-PL-D-008,GP ENAMEL THINNER,GP-5 LTR,3540
FG001825,TR-BOX,TP-TR-GP-210LTR,AWR-TPMRK-PL-D-008,GP ENAMEL THINNER,GP-210 LTR,34500
FG000545,TR-BOX,TP-TR-NC-0.5 LTR,AWR-TPMRK-PL-D-007,NC Thinner,NC-0.5 LTR,1720
FG000549,TR-BOX,TP-TR-NC-1.0LTR,AWR-TPMRK-PL-D-007,NC Thinner,NC-1.0 LTR,3080
FG000547,TR-BOX,TP-TR-NC-20.0LTR,AWR-TPMRK-PL-D-007,NC Thinner,NC-20.0 LTR,3100
FG000571,TR-BOX,TP-TR-NC-3.0LTR,AWR-TPMRK-PL-D-007,NC Thinner,NC-3.0 LTR,1920
FG000546,TR-BOX,TP-TR-NC-5.0LTR,AWR-TPMRK-PL-D-007,NC Thinner,NC-5.0 LTR,3020
FG001818,TR-BOX,TP-TR-NC-210LTR,AWR-TPMRK-PL-D-007,NC Thinner,NC-210 LTR,28200
FG001777,CB-BOX,AB-WCB-04-110-03,AWR-ABMRK-PL-D-003,Wall Cutting Blade,110X3X16.2 MM -10 NOS,898
FG001827,CB-BOX,AB-WCB-05-110-03,AWR-ABMRK-PL-D-003,Wall Cutting Blade,125X3X22.2 MM -10 NOS,1060
FG002157,MT-BOX,SB-MT-050-20M-135,AWR-MTMRK-PL-D-003,Masking Tape,0.5X20M-135 MIC MASKING TAPE,5428
FG002158,MT-BOX,SB-MT-075-20M-135,AWR-MTMRK-PL-D-003,Masking Tape,0.75X20M-135 MIC MASKING TAPE,5664
FG002159,MT-BOX,SB-MT-100-20M-135,AWR-MTMRK-PL-D-003,Masking Tape,1X20M-135 MIC MASKING TAPE,5664
FG002160,MT-BOX,SB-MT-150-20M-135,AWR-MTMRK-PL-D-003,Masking Tape,1.5X20M-135 MIC MASKING TAPE,5900
FG002161,MT-BOX,SB-MT-200-20M-135,AWR-MTMRK-PL-D-003,Masking Tape,2X20M-135 MIC MASKING TAPE,6136
FG002162,MT-BOX,SB-MT-300-20M-135,AWR-MTMRK-PL-D-003,Masking Tape,3X20M-135 MIC MASKING TAPE,6372
